,train_size,train_acc,train_f1,test_acc,test_f1
0,35,0.7999999999999999,0.779047619047619,0.28571428571428564,0.25007482993197283
1,36,0.975,0.9666666666666666,0.25999999999999984,0.20905215419501136
2,37,0.9249999999999999,0.915,0.26571428571428574,0.2204387755102041
3,38,0.9083333333333332,0.9249999999999999,0.2785714285714284,0.22700680272108845
4,39,0.975,0.9833333333333333,0.19428571428571423,0.12768140589569157
5,40,0.975,0.9666666666666667,0.24571428571428588,0.18659863945578223
6,41,0.9777777777777777,0.9777777777777777,0.1457142857142857,0.06418707482993198
7,42,0.9444444444444444,0.9444444444444444,0.16142857142857145,0.08984126984126989
8,43,0.9407407407407408,0.9481481481481481,0.18857142857142856,0.12557142857142856
9,44,0.9777777777777777,0.9866666666666668,0.1928571428571428,0.1274047619047619
10,45,0.9777777777777777,0.9851851851851852,0.15,0.07530952380952378
11,46,0.98,0.9714285714285713,0.1471428571428572,0.07084353741496596
12,47,0.98,0.972,0.16000000000000006,0.09240249433106576
13,48,0.98,0.9733333333333333,0.1428571428571429,0.06207482993197278
14,49,0.98,0.972,0.1485714285714286,0.07176530612244897
15,50,0.98,0.9786666666666667,0.14285714285714285,0.06615646258503399
16,51,0.9818181818181818,0.9806060606060606,0.15000000000000002,0.07296598639455786
17,52,0.9818181818181818,0.9806060606060606,0.142857142857143,0.0707199546485261
18,53,0.9636363636363636,0.9485714285714284,0.14285714285714293,0.06635487528344669
19,54,0.9818181818181818,0.974025974025974,0.14285714285714288,0.06700680272108843
20,55,0.9818181818181818,0.9740259740259739,0.1485714285714286,0.07545918367346938
21,56,0.9666666666666666,0.9722222222222221,0.14285714285714288,0.06006235827664401
22,57,0.9666666666666666,0.9544444444444444,0.1442857142857142,0.0743922902494331
23,58,0.9833333333333333,0.9822222222222222,0.14285714285714285,0.06479591836734695
24,59,0.9833333333333333,0.9822222222222222,0.15571428571428578,0.08120521541950111
25,60,0.95,0.9444444444444445,0.1428571428571429,0.0645408163265306
26,61,0.9846153846153846,0.9784615384615384,0.14714285714285716,0.07109183673469388
27,62,0.9846153846153846,0.9784615384615384,0.1442857142857143,0.07507256235827658
28,63,0.9846153846153846,0.9897435897435898,0.14428571428571432,0.06586054421768708
29,64,0.9846153846153846,0.9794871794871794,0.14285714285714285,0.06998299319727892
30,65,0.9846153846153846,0.9780219780219779,0.1428571428571429,0.065249433106576
31,66,0.9857142857142857,0.98,0.14285714285714296,0.06547619047619048
32,67,0.9857142857142857,0.9795918367346939,0.14285714285714293,0.06632653061224492
33,68,0.9857142857142857,0.9847619047619047,0.14285714285714285,0.06785714285714282
34,69,0.9857142857142857,0.9795918367346939,0.14571428571428569,0.06934013605442176
35,70,0.9857142857142857,0.9809523809523809,0.14285714285714285,0.06907596371882094
36,71,0.9866666666666666,0.9911111111111112,0.14285714285714288,0.063265306122449
37,72,1.0,1.0,0.14285714285714282,0.065249433106576
38,73,1.0,1.0,0.14571428571428574,0.06877551020408164
39,74,0.9866666666666666,0.9807407407407408,0.14428571428571435,0.06427891156462585
40,75,0.9733333333333333,0.9619047619047617,0.1457142857142857,0.06940476190476191
41,76,0.9874999999999999,0.9874999999999999,0.1428571428571429,0.06590136054421769
