,train_size,train_acc,train_f1,test_acc,test_f1
0,35,0.14285714285714288,0.10190476190476191,0.1285714285714286,0.07126190476190475
1,36,0.17500000000000002,0.11982142857142855,0.14714285714285721,0.08859523809523809
2,37,0.325,0.2775,0.1471428571428571,0.1283061224489796
3,38,0.3,0.2701190476190476,0.12285714285714283,0.11268707482993193
4,39,0.36875,0.3354166666666667,0.17857142857142863,0.13892517006802724
5,40,0.17500000000000002,0.1269047619047619,0.1528571428571429,0.10481632653061225
